NAME_SUBFAM,0,1,VaR
0101-ALIMENTAÇÃO CORRENTE,6.653522622954788,140713110.7388,4409075.668296511
0102-BENS ESSENCIAIS,4.714852474786361,24611865.50688999,666614.5027096777
0103-CONFEITARIA,1.612010161635523,5591957.38954,-5491.01060344564
0201-PEIXARIA,2.3309918600309096,7813682.678159999,95114.27288261955
0202-FRUTAS E VEGETAIS,0.329799472751207,144109.57574000355,-24036.517337647394
0203-CAFETARIA,1.8705666340576856,949510.3205999994,4665.0368664733105
0301-CONGELADOS,5.116702197612813,24110585.645279996,680648.5327699627
0302-LEITE,1.0951988052173713,2620081.63821,-55302.91305644218
0303-PRODUTOS DERIVADOS LEITE,2.05260180931953,6907340.061599999,56450.86628101187
0304-PRODUTOS DERIVADOS ANIMAIS E V,1.612214605254046,2692703.75162,-2629.5319147054106
0305-CHARCUTARIA,1.6062670954296427,3700369.47137,-4197.825749396958
0401-ÁGUAS,1.2527923656440063,5276792.1654,-69710.34568077719
0402-SUMOS,4.353795695332746,8957630.68965,231786.2867434223
0403-REFRIGERANTES,2.6195126013291694,6976839.22452,107592.11373564263
0404-BEBIDAS ALCOÓLICAS,1.4759946415614233,38801107.21259999,-190594.6555808552
0501-DETERGENTES,3.3950409265319026,2631966.7601199993,56367.628219491206
0502-PRODUTO DE LIMPEZA,9.349683979976945,5095298.105839999,174837.3941602456
0601-PRODUTOS DE SAUDE VENDA LIVRE,2.31856315010516,209863.40563999995,2521.4419894801313
0701-PRODUTOS PESSOAIS,7.373750025814447,6519455.497719999,210859.09161289444
0801-MENAGE,6.326745562014499,9082137.24461,279730.73883984354
0802-FESTAS,0.6579920317399599,29219.715150000004,-1835.5205978228846
0803-LIVRARIA / PAPELARIA / TABACAR,2.1609783750348366,232523.88211000004,2290.9120858170772
0804-CASA E JARDIM,1.4132908193482385,65343.830869999976,-456.0126754678972
0805-ANIMAL,1.5633713570867218,108752.60910999999,-251.08906727363956
0806-QUINQUILHARIA,1.763619892982838,64493.38835000001,173.12243016913408
0903-ELECTRODOMÉSTICOS,0.772701066614134,1008389.2350199998,-47703.80803047181
1001-TEXTIL LAR,1.0337322684269197,67249.39168,-1670.4692036044116
1101-TARAS,0.29411391935569625,7535.3032999999905,-1447.4284998543367
1201-SAZONAIS,0.2735108181482621,186856.23952,-39182.72684820484
